Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",0805,3,1u,
C2,0805,1,10n,
"C3, C6, C7, C8, C9",0805,5,0.1u,
"D1, D2",SOT-23-3,2,PESD5V0S2BT,
J1,PinHeader_1x03_P2.54mm_Vertical,1,INPUT,
J2,PinHeader_1x03_P2.54mm_Vertical,1,OUTPUT,
"R1, R3",0805,2,10k,
R2,0805,1,15k,
"R4, R5",0805,2,1k,
R6,0805,1,1M,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,NA555D,
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,74LS14,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TLV2372,
